Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
12/06/2020 00:00,11.3,1156.28,1543.924,58.356,464.93,ACTUAL
12/06/2020 00:05,11.3,1149.5,1534.559,60.941,464.93,ACTUAL
12/06/2020 00:10,11.3,1142.45,1522.251,66.199,464.93,ACTUAL
12/06/2020 00:15,11.3,1141.64,1512.925,74.715,464.93,ACTUAL
12/06/2020 00:20,11.3,1149.44,1514.943,80.497,464.93,ACTUAL
12/06/2020 00:25,11.3,1147.01,1513.72,79.29,464.93,ACTUAL
12/06/2020 00:30,11.3,1139.48,1503.648,81.832,464.93,ACTUAL
12/06/2020 00:35,11.3,1138.26,1502.011,82.249,464.93,ACTUAL
12/06/2020 00:40,11.3,1117.8,1479.366,84.434,464.93,ACTUAL
12/06/2020 00:45,11.3,1114.27,1471.318,88.95200000000001,464.93,ACTUAL
12/06/2020 00:50,11.3,1115.91,1467.3970000000002,94.51299999999999,464.93,ACTUAL
12/06/2020 00:55,11.28,1104.35,1450.0829999999999,100.26700000000001,464.93,ACTUAL
12/06/2020 01:00,11.28,1089.52,1426.13,109.39,464.93,ACTUAL
12/06/2020 01:05,2.59401,1083.6,1417.217,112.383,464.93,ACTUAL
12/06/2020 01:10,48.536,1090.95,1415.14,119.2,462.08,ACTUAL
12/06/2020 01:15,53.81021,1087.24,1401.1870000000001,117.303,448.89,ACTUAL
12/06/2020 01:20,32.19442,1084.64,1384.885,117.265,433.99,ACTUAL
12/06/2020 01:25,42.95843,1083.06,1379.108,119.72200000000001,432.11,ACTUAL
12/06/2020 01:30,41.303740000000005,1074.33,1376.987,122.25299999999999,442.01,ACTUAL
12/06/2020 01:35,57.7522,1064.6,1277.499,128.55100000000002,352.23,ACTUAL
12/06/2020 01:40,39.48165,1061.0,1269.028,133.442,352.26,ACTUAL
12/06/2020 01:45,39.81728,1058.89,1264.903,135.477,352.28,ACTUAL
12/06/2020 01:50,41.1791,1072.52,1262.4289999999999,135.731,335.38,ACTUAL
12/06/2020 01:55,33.60957,1065.6,1254.705,136.495,335.35,ACTUAL
12/06/2020 02:00,33.62423,1067.71,1250.548,133.612,325.62,ACTUAL
12/06/2020 02:05,402.15333,1036.11,1040.248,135.262,140.88,ACTUAL
12/06/2020 02:10,134.23,1015.66,924.683,141.977,51.07,ACTUAL
12/06/2020 02:15,134.23,1002.1,840.61,141.24,-20.13,ACTUAL
12/06/2020 02:20,51.000640000000004,1000.83,761.5089999999999,133.371,-104.37,ACTUAL
12/06/2020 02:25,28.85865,981.66,752.939,129.101,-99.62,ACTUAL
12/06/2020 02:30,19.41546,992.17,751.154,135.446,-105.57,ACTUAL
12/06/2020 02:35,44.39731,1015.0,730.1210000000001,139.759,-145.12,ACTUAL
12/06/2020 02:40,43.78253,1030.78,728.692,132.918,-169.17,ACTUAL
12/06/2020 02:45,26.272809999999996,1011.74,727.954,131.226,-152.56,ACTUAL
12/06/2020 02:50,38.52261,1012.99,729.071,129.809,-154.11,ACTUAL
12/06/2020 02:55,31.344890000000003,1016.13,729.909,132.691,-153.53,ACTUAL
12/06/2020 03:00,32.48375,1014.56,730.91,128.15,-155.5,ACTUAL
12/06/2020 03:05,29.96358,1000.74,729.9780000000001,128.90200000000002,-141.86,ACTUAL
12/06/2020 03:10,35.26638,1015.21,729.242,118.65799999999999,-167.32,ACTUAL
12/06/2020 03:15,38.19113,1031.63,727.6419999999999,123.148,-180.84,ACTUAL
12/06/2020 03:20,22.44691,1012.21,791.047,119.65299999999999,-101.51,ACTUAL
12/06/2020 03:25,22.02519,1032.19,792.429,116.801,-122.96,ACTUAL
12/06/2020 03:30,23.975479999999997,1027.89,793.7810000000001,113.949,-120.16,ACTUAL
12/06/2020 03:35,29.68742,1033.23,794.191,113.719,-125.32,ACTUAL
12/06/2020 03:40,29.00978,1022.71,792.5139999999999,117.866,-112.33,ACTUAL
12/06/2020 03:45,28.0416,1030.94,792.5110000000001,120.199,-118.24,ACTUAL
12/06/2020 03:50,27.96527,1025.8,792.898,119.712,-113.18,ACTUAL
12/06/2020 03:55,29.824540000000002,1027.29,792.352,123.118,-111.83,ACTUAL
12/06/2020 04:00,24.71346,1030.47,792.4780000000001,120.652,-117.33,ACTUAL
12/06/2020 04:05,28.8691,1035.12,749.785,116.825,-168.51,ACTUAL
12/06/2020 04:10,22.936,1036.19,773.8,108.92,-153.47,ACTUAL
12/06/2020 04:15,28.96616,1027.76,773.653,107.32700000000001,-146.79,ACTUAL
12/06/2020 04:20,30.24933,1032.99,773.185,102.695,-157.11,ACTUAL
12/06/2020 04:25,29.366690000000002,1036.15,775.163,100.87700000000001,-160.11,ACTUAL
12/06/2020 04:30,22.76535,1024.49,775.296,103.72399999999999,-145.47,ACTUAL
12/06/2020 04:35,25.35385,1055.07,777.033,108.947,-169.09,ACTUAL
12/06/2020 04:40,29.5188,1055.54,777.159,111.84100000000001,-166.54,ACTUAL
12/06/2020 04:45,33.36844,1061.38,775.98,107.06,-178.34,ACTUAL
12/06/2020 04:50,29.40457,1042.38,774.836,109.014,-158.53,ACTUAL
12/06/2020 04:55,37.25314,1065.23,775.7810000000001,106.12899999999999,-183.32,ACTUAL
12/06/2020 05:00,36.44314,1070.43,774.345,109.215,-186.88,ACTUAL
12/06/2020 05:05,34.764540000000004,1080.2,780.7280000000001,110.84200000000001,-188.63,ACTUAL
12/06/2020 05:10,31.4252,1082.38,831.3960000000001,112.954,-138.02,ACTUAL
12/06/2020 05:15,31.4252,1086.35,830.466,115.954,-139.93,ACTUAL
12/06/2020 05:20,32.339690000000004,1093.79,831.043,114.32700000000001,-148.43,ACTUAL
12/06/2020 05:25,35.51962,1096.81,829.78,113.68,-153.35,ACTUAL
12/06/2020 05:30,38.255590000000005,1113.61,830.2739999999999,115.336,-168.0,ACTUAL
12/06/2020 05:35,23.34798,1068.27,834.4830000000001,113.057,-120.73,ACTUAL
12/06/2020 05:40,35.82588,1124.15,877.878,118.762,-127.5,ACTUAL
12/06/2020 05:45,41.6049,1142.04,879.793,129.727,-132.52,ACTUAL
12/06/2020 05:50,38.17024,1133.75,879.334,146.166,-108.25,ACTUAL
12/06/2020 05:55,29.50475,1111.03,880.297,156.373,-74.36,ACTUAL
12/06/2020 06:00,69.38274,1147.33,882.9689999999999,152.461,-111.9,ACTUAL
12/06/2020 06:05,-41.38,1162.49,912.5989999999999,149.891,-100.0,ACTUAL
12/06/2020 06:10,-0.63694,1175.25,1156.595,148.455,129.8,ACTUAL
12/06/2020 06:15,36.91444,1186.9,1257.26,147.85,222.31,ACTUAL
12/06/2020 06:20,44.36833,1228.75,1260.965,154.375,189.48,ACTUAL
12/06/2020 06:25,73.65385,1236.67,1263.259,154.841,184.15,ACTUAL
12/06/2020 06:30,75.18149,1263.47,1266.542,149.298,154.19,ACTUAL
12/06/2020 06:35,1.5016,1273.83,1443.296,151.924,330.87,ACTUAL
12/06/2020 06:40,2.72893,1289.12,1490.9160000000002,151.434,364.82,ACTUAL
12/06/2020 06:45,1.05243,1299.17,1521.6779999999999,150.142,385.63,ACTUAL
12/06/2020 06:50,51.580740000000006,1354.76,1604.595,150.215,415.12,ACTUAL
12/06/2020 06:55,62.6512,1341.89,1605.261,146.389,425.61,ACTUAL
12/06/2020 07:00,65.11949,1364.22,1604.2620000000002,146.028,400.05,ACTUAL
12/06/2020 07:05,34.817009999999996,1398.68,1656.1789999999999,146.241,419.1,ACTUAL
12/06/2020 07:10,25.62181,1401.74,1688.421,151.039,455.92,ACTUAL
12/06/2020 07:15,39.36923,1445.13,1691.102,155.188,416.31,ACTUAL
12/06/2020 07:20,36.03223,1443.05,1692.1170000000002,155.923,420.45,ACTUAL
12/06/2020 07:25,36.64175,1441.12,1690.385,150.995,415.34,ACTUAL
12/06/2020 07:30,41.58602,1454.07,1689.6879999999999,149.292,398.81,ACTUAL
12/06/2020 07:35,46.03931,1489.15,1736.9389999999999,146.511,408.91,ACTUAL
12/06/2020 07:40,128.61886,1501.84,1748.66,146.05,407.37,ACTUAL
12/06/2020 07:45,81.54762,1517.82,1811.632,144.298,456.34,ACTUAL
12/06/2020 07:50,11.37,1503.26,1801.9370000000001,147.32299999999998,464.93,ACTUAL
12/06/2020 07:55,11.38,1552.36,1850.497,147.863,464.93,ACTUAL
12/06/2020 08:00,11.38,1542.98,1841.168,147.812,464.93,ACTUAL
12/06/2020 08:05,32.1074,1541.12,1823.04,148.59,448.08,ACTUAL
